column,gas_type,accounting_type,fuel_type,count_type,relative_to_world,is_value_column,unit
co2,二酸化炭素,生産ベース,合計,実数,False,True,100万トン
co2_per_capita,二酸化炭素,生産ベース,合計,人口1人あたり,False,True,t/人
trade_co2,二酸化炭素,消費ベース,,貿易に伴う排出量,False,True,
cement_co2,二酸化炭素,生産ベース,セメント,実数,False,True,100万トン
cement_co2_per_capita,二酸化炭素,生産ベース,セメント,人口1人あたり,False,True,t/人
coal_co2,二酸化炭素,生産ベース,石炭,実数,False,True,100万トン
coal_co2_per_capita,二酸化炭素,生産ベース,石炭,人口1人あたり,False,True,t/人
flaring_co2,二酸化炭素,生産ベース,ガスフレア,実数,False,True,100万トン
flaring_co2_per_capita,二酸化炭素,生産ベース,ガスフレア,人口1人あたり,False,True,トン/人
gas_co2,二酸化炭素,生産ベース,ガス,実数,False,True,100万トン
gas_co2_per_capita,二酸化炭素,生産ベース,ガス,人口1人あたり,False,True,トン/人
oil_co2,二酸化炭素,生産ベース,石油,実数,False,True,100万トン
oil_co2_per_capita,二酸化炭素,生産ベース,石油,人口1人あたり,False,True,トン/人
consumption_co2,二酸化炭素,消費ベース,,実数,False,True,100万トン
consumption_co2_per_capita,二酸化炭素,消費ベース,,人口1人あたり,False,True,トン/人
cumulative_co2,二酸化炭素,生産ベース,合計,累積,False,True,%
cumulative_cement_co2,二酸化炭素,生産ベース,セメント,累積,False,True,100万トン
cumulative_coal_co2,二酸化炭素,生産ベース,石炭,累積,False,True,100万トン
cumulative_flaring_co2,二酸化炭素,生産ベース,ガスフレア,累積,False,True,100万トン
cumulative_gas_co2,二酸化炭素,生産ベース,ガス,累積,False,True,100万トン
cumulative_oil_co2,二酸化炭素,生産ベース,石油,累積,False,True,100万トン
cumulative_other_co2,二酸化炭素,生産ベース,その他,累積,False,True,100万トン
trade_co2_share,二酸化炭素,消費ベース,,貿易に伴う排出量,True,True,100万トン
share_global_co2,二酸化炭素,生産ベース,合計,実数,True,True,%
share_global_cement_co2,二酸化炭素,生産ベース,セメント,実数,True,True,%
share_global_coal_co2,二酸化炭素,生産ベース,石炭,実数,True,True,%
share_global_flaring_co2,二酸化炭素,生産ベース,ガスフレア,実数,True,True,%
share_global_gas_co2,二酸化炭素,生産ベース,ガス,実数,True,True,%
share_global_oil_co2,二酸化炭素,生産ベース,石油,実数,True,True,%
share_global_other_co2,二酸化炭素,生産ベース,その他,実数,True,True,%
share_global_cumulative_co2,二酸化炭素,生産ベース,合計,累積,True,True,%
share_global_cumulative_cement_co2,二酸化炭素,生産ベース,セメント,累積,True,True,%
share_global_cumulative_coal_co2,二酸化炭素,生産ベース,石炭,累積,True,True,%
share_global_cumulative_flaring_co2,二酸化炭素,生産ベース,ガスフレア,累積,True,True,%
share_global_cumulative_gas_co2,二酸化炭素,生産ベース,ガス,累積,True,True,%
share_global_cumulative_oil_co2,二酸化炭素,生産ベース,石油,累積,True,True,%
share_global_cumulative_other_co2,二酸化炭素,生産ベース,その他,累積,True,True,%
total_ghg,全ての温室効果ガス,生産ベース,,実数,False,True,100万トン
ghg_per_capita,全ての温室効果ガス,生産ベース,,人口1人あたり,False,True,トン/人
methane,メタン,生産ベース,,実数,False,True,100万トン
methane_per_capita,メタン,生産ベース,,人口1人あたり,False,True,トン/人
nitrous_oxide,亜酸化窒素,生産ベース,,実数,False,True,100万トン
nitrous_oxide_per_capita,亜酸化窒素,生産ベース,,人口1人あたり,False,True,トン/人
